workoutTime,workoutDetails,category
20 Min AMRAP,1-2-3-..+1 Strict HSPU\n2-4-6-..+2 Pistols\n3-6-9-..+3 Burpees,Home
For Time,100 Pistols,Home
For Time,50 Burpees\n5 Rounds of\n10 Push Ups + 10 Air Squats,Home
5 Rounds,30 Jump Overs\n20 Burpees\n30 Jump Overs\n2 Min Rest,Home
4 RFT,40 Jump Over\n40 HSPU\n40 Pistols\n40 Burpees,Home
12 RFT,6 Burpees\n6 Sit Ups\n6 Jump Over\n6 Push Ups,Home
25 Min AMRAP,8 HSPU\n8 Tuck Jumps,Home
10 RFT,15 Air Squat\n7 Tuck Jumps,Home
For Time,30 HSPU\n60 Pistols\n30 HSPU,Home
4 RFT,25m Bear Crawl\n15 Push Ups,Home
For Time,75 HSPU\nEMOM 5 Burpees,Home
For Time,150 Sit Ups\n75 Push Ups\n150 Air Squat\n75 Push Ups\n150 Sit Ups,Home
Death by,5 Burpees\nX Air Squats\nX Push Ups,Home
5 RFT,10 Strict HSPU\n40 Pistols,Home
5 RFT,1 Min Push Ups\n1 Min Air Squats\n1 Min Sit Ups\n1 Min Pistols\n1 Min Rest,Home
12 Min AMRAP,50 Air Squat\n30 Push Ups\n15 Burpees,Home
2 RFT,24 Push Ups\n24 Air Squat\n24 Sit Ups\n24 Jumping Jacks\n48s Handstand Hold,Home
For Time,75 Sit Ups\n75 Push Ups\n75 Air Squat\n75 Push Ups\n75 Sit Ups,Home
16 Min AMRAP,12 Burpees\n24 Sit Ups\n48 Air Squats,Home
For Time,100 Jump Over\n50 Push Ups\n40 Air Squats\n30 HSPU\nChipper; go back up; HSPU 1x,Home
3 RFT,15 Burpees\n10 HSPU,Home
5 RFT,6 Strict HSPU\n12 Jump Overs,Home
For Time,150m Handstand Walk,Home
For Time,50 Burpees\n50 HSPU\n50 Burpees\nEMOM: 10 Air Squats,Home
For Time 21-15-9-6-3,Strict HSPU\nPistols\nBurpees,Home
For Time,100m Handstand Walk,Home
24 Min AMRAP,16 HSPU\n32 Tuck Jumps,Home
20 Min AMRAP,20 Lunges\n25 Sit Ups\n30 Air Squats,Home
For Time,15-12-9-12-15 Push Ups\n15-12-9-12-15 HSPU\n15-12-9-12-15 Burpees,Home
5 RFT,25 Air Squats\n5 Strict HSPU,Home
5 RFT,4 Strict HSPU\n16 Lunges\n16 Burpees,Home
For 45 Minutes,Practice any of the following\nHandstand\nHandstand walk\nPress To Handstand,Home
For Time,50-40-30 Air Squats\n100-80-60 Jump Over,Home
20 Min AMRAP,2 Strict HSPU\n4 Burpees\n8 Pistols,Home
For Time,12-9-6 Strict HSPU\n12-9-6 Burpee Jump Over,Home
5 RFT,10 HSPU\n25 Air Squats\n50 Sit Ups,Home
For Time,50 HSPU\n50 Pistols\n25 HSPU,Home
50 RFT,1 Burpee\n1 Push Up\n1 Jumping Jack\n1 Sit Up\n1 Handstand,Home
10 RFT,10 Air Squat\n15 Tuck Jumps,Home
For Time,60 Pistols\n60 Air Squats\n60 Pistols,Home
For Time,50 Jump Over\n40 Sit Ups\n30 Lunges\n20 Burpees,Home
For Time,50 Push Ups\n100 Sit Ups\n150 Air Squats,Home
Find,Max Unbroken Handstand Walk,Home
3 RFT,50 Lunges\n15 Burpees\n50 Push Ups,Home
5 RFT,20 HSPU\n50 Air Squats\n70 Sit Ups,Home
For Time,150m Shuttle Run (5m+5m)\n25 Burpees\n150m Shuttle Run (5m+5m)\n25 Burpees,Home
For Time,80-60-40-20 Sit Ups\n80-60-40-20 Air Squats,Home
10 RFT,5 Pistols\n5 Burpees\n5 Jump Over\n5 HSPU\n45 Sec Rest,Home
For Time,10-9-8-...-2-1 Burpees\n10 Push Ups,Home
For Time,50m Handstand Walk\nEach time you break do\n5 Burpees,Home
For Time,50 Jump Over\n50 Push Ups\n50 Air Squats\n50 HSPU\nChipper; go back up; HSPU 1x,Home
5 Rounds of,Max Distance Handstand Walk,Home
3 RFT,30 Pistols\n60 Sec Plank,Home
For Time,70 Burpees\n5 Rounds of\n20 Push Ups\n20 Air Squats,Home
12 RFT,50 Air Squat\n25 Push Ups,Home
For Time,50-40-30-20-10 Lunges\n10-20-30-40-50 Push Ups,Home
5 RFT,21 Sit Ups\n14 Push Ups,Home
For Time,20 Jump Over Burpees\n5 Rounds Of\n10 Tuck Jumps + 10 Push Ups\n20 Jump Over Burpees,Home
10 Rounds of,Max Distance Handstand Walk\nRest as needed,Home
7 Min AMRAP,4 Pistols\n6 HSPUs,Home
For Time,100m Shuttle Run (5m+5m)\n50 Burpees\n100m Shuttle Run (5m+5m),Home
For Time,400m Burpee Broad Jump,Home
14 Min AMRAP,21 Jump Over\n14 Push Ups,Home
For Time,50 HSPU\n40 Burpees\n30 Pistols,Home
For Time,30 Burpees\n40 Pistols\n50 Push Ups\n60 Air Squats,Home
15 Min AMRAP,7 Jump Over\n7 Push Ups,Home
20 Min EMOM,Min 1: 15 HSPU\nMin 2: 20 Pistols\nMin 3: 25 Push Ups\nMin 4: Rest,Home
