workoutName,workoutTime,workoutDetails,category
18.1,AMRAP: 20 Min,18 toes-to-bars\n10 dumbbell hang clean and jerks\n14-cal. Row,Open
18.2,Time cap: 9 Min,1-2-3-4-5-6-7-8-9-10 rep\nDumbbell squats\nBar-facing burpees\nThen;\n1-rep-max clean,Open
18.3,Time cap: 14 Min,Two rounds\n100 double-unders\n20 overhead squats\n100 double-unders\n12 ring muscle-ups\n100 double-unders\n20 dumbbell snatches\n100 double-unders\n12 bar muscle-ups\nMen perform 115-lb. OHS; 50-lb. DB snatches,Open
18.4,Time cap: 9 min,21 deadlifts; 225 lb.\n21 handstand push-ups\n15 deadlifts; 225 lb.\n15 handstand push-ups\n9 deadlifts; 225 lb.\n9 handstand push-ups\n21 deadlifts; 315 lb.\n50-ft. handstand walk\n15 deadlifts; 315 lb.\n50-ft. handstand walk\n9 deadlifts; 315 lb.\n50-ft. handstand walk,Open
18.5,AMRAP: 7 Min,3-6-9-? thrusters 100 lbs\n3-6-9-? chest-to-bar pull-ups,Open
17.1,For Time,10 Dumbbell Snatch 50/35 lbs\n15 Burpee Box Jump Overs 24/20?\n20 Dumbbell Snatch 50/35 lbs\n15 Burpee Box Jump Overs 24/20?\n30 Dumbbell Snatch 50/35 lbs\n15 Burpee Box Jump Overs 24/20?\n40 Dumbbell Snatch 50/35 lbs\n15 Burpee Box Jump Overs 24/20?\n50 Dumbbell Snatch 50/35 lbs\n15 Burpee Box Jump Overs 24/20?,Open
17.2,AMRAP: 12 Min,Two Rounds\n50 feet Dumbbell Walking Lunges 50/35 lbs\n16 Toes to Bars\n8 Dumbbell Power Cleans 50/35 lbs\nThen; Two Rounds\n50 ft Dumbbell Walking Lunges 50/35 lbs\n16 Bar Muscle-Ups\n8 Dumbbell Power Cleans 50/35 lbs,Open
17.3,Time cap: 8 Min,3 rounds\n6 Chest to Bar Pull Ups\n6 Squat Snatches 95/65 lbs\nThen; 3 rounds\n7 Chest to Bar Pull Ups\n5 Squat Snatches 135/95 lbs\nPrior to 12:00; complete 3 rounds\n8 Chest to Bar Pull Ups\n4 Squat Snatches 185/135 lbs\nSame rules applies to other rounds; +4 minutes if you finish 3 rounds; +1 C2B and -1 Squat Snatch; weight goes up to 225/155; 245/175 and 265/185 lbs,Open
17.4,AMRAP: 13 Min,55 Deadlifts 225/155 lbs\n55 Wall Balls 20/14 lbs\n55 cal Row\n55 HSPU,Open
17.5,For Time,10 Rounds of\n9 Thrusters 95/65 lbs\n35 DUs,Open
