workoutName,workoutTime,workoutDetails,category,equipment
JT,For time,21-15-9 rep\nHandstand push-ups\nRing dips\nPush-ups,Hero,GYM RINGS
MICHAEL,For time,Three rounds\nRun 800 meters\n50 Back Extensions\n50 Sit-ups,Hero,GHD MACHINE
MURPH,For time,1 mile Run\n100 Pull-ups\n200 Push-ups\n300 Squats\n1 mile Run,Hero,"PULL UP BAR, BARBELL"
DANIEL,For time,50 Pull-ups\n400 meters run\n95 lbs Thruster; 21 rep\n800 meters run\n95 lbs Thruster; 21 rep\n400 meters run\n50 Pull-ups,Hero,"BARBELL, PULL UP BAR"
JOSH,For time,95 lbs Overhead squat; 21 rep\n42 Pull-up\n95 lbs Overhead squat; 15 rep\n30 Pull-up\n95 lbs Overhead squat; 9 rep\n18 Pull-ups,Hero,"BARBELL, PULL UP BAR"
JASON,For time,100 Squat\n5 Muscle-up\n75 Squat\n10 Muscle-up\n50 Squat\n15 Muscle-up\n25 Squat\n20 Muscle-ups,Hero,"PULL UP BAR, BARBELL"
BADGER,For time,Three rounds\n95 lbs Squat clean; 30 rep\n30 Pull-up\nRun 800 meters,Hero,"BARBELL, PULL UP BAR"
JOSHIE,For time,Three rounds\n40 lbs Dumbbell snatch; 21 reps; right arm\n21 L Pull-up\n40 lbs Dumbbell snatch; 21 reps; left arm\n21 L Pull-ups,Hero,"DUMBBELL, PULL UP BAR"
NATE,AMRAP: 20 Min,2 Muscle-up\n4 Handstand Push-up\n8 2-Pood Kettlebell swings,Hero,"PULL UP BAR, KETTLEBELL"
RANDY,For time,75lbs power snatch; 75 reps,Hero,BARBELL
TOMMY V,For time,115 lbs Thruster; 21 rep\n15 ft Rope Climb; 12 ascents\n115 lbs Thruster; 15 rep\n15 ft Rope Climb; 9 ascents\n115 lbs Thruster; 9 rep\n15 ft Rope Climb; 6 ascents,Hero,"BARBELL, ROPE"
GRIFF,For time,Run 800 meter\nRun 400 meters backward\nRun 800 meter\nRun 400 meters backwards,Hero,
RYAN,For time,Five rounds\n7 Muscle-up\n21 Burpees,Hero,PULL UP BAR
ERIN,For time,Five rounds\n40 lbs Dumbbells split clean; 15 rep\n21 Pull-ups,Hero,"DUMBBELL, PULL UP BAR"
MR. JOSHUA,For time,Five rounds\nRun 400 meter\n30 Glute-ham sit-up\n250 lbs Deadlift; 15 reps,Hero,BARBELL
DT,For time,Five rounds\n155 lbs Deadlift; 12 rep\n155 lbs Hang power clean; 9 rep\n155 lbs Push jerk; 6 reps,Hero,BARBELL
DANNY,AMRAP: 20 Min,24in box jump; 30 rep\n115 lbs push press; 20 rep\n30 pull-ups,Hero,"BOX, PULL UP BAR, BARBELL"
HANSEN,For time,Five rounds\n30 reps; 2 pood Kettlebell swin\n30 Burpee\n30 Glute-ham sit-ups,Hero,KETTLEBELL
TYLER,For time,Five rounds\n7 Muscle-up\n21 reps 95 lbs Sumo-deadlift high-pull,Hero,"BARBELL, PULL UP BAR"
LUMBERJACK 20,For time,20 Deadlifts (275lbs\nRun 400\n20 KB swings (2pood\nRun 400\n20 Overhead Squats (115lbs\nRun 400\n20 Burpee\nRun 400\n20 Pullups (Chest to Bar\nRun 400\n20 Box jumps (24in\nRun 400\n20 DB Squat Cleans (45lbs each\nRun 400m,Hero,"BARBELL, BOX, PULL UP BAR, DUMBBELL, KETTLEBELL"
STEPHEN,For time,30-25-20-15-10-5 rep rounds\nGHD sit-u\nBack extension\nKnees to elbow\n95 lbs Stiff legged deadlift,Hero,"BARBELL, PULL UP BAR, GHD MACHINE"
GARRETT,For time,Three rounds\n75 Squats\n25 Ring handstand push-ups\n25 L-pull-ups,Hero,"GYM RINGS, PULL UP BAR, BARBELL"
WAR FRANK,For time,Three rounds\n25 Muscle-ups\n100 Squats\n35 GHD situps,Hero,"PULL UP BAR, BARBELL, GHD MACHINE"
MCGHEE,AMRAP: 30 Min,275 lbs Deadlift; 5 reps\n13 Push-ups\n9 Box jumps; 24 inch box,Hero,"BARBELL, BOX"
PAUL,For Time,Five rounds\n50 Double unders\n35 Knees to elbows\n185 lbs Overhead walk; 20 yards,Hero,"PULL UP BAR, SKIPPING ROPE, BARBELL"
JERRY,For Time,Run 1 mile\nRow 2K\nRun 1 mile,Hero,ROWER
NUTTS,For Time,10 Handstand push-ups\n250 lbs Deadlift; 15 reps\n25 Box jumps; 30 inch box\n50 Pull-ups\n100 Wallball shots; 20 lbss; 10ft\n200 Double-unders\nRun 400 meters with a 45lb plate,Hero,"SKIPPING ROPE, BARBELL, BOX, PULL UP BAR, MED BALL"
ARNIE,For Time,With a single 2 pood kettlebell:\n21 Turkish get-ups; Right arm\n50 Swings\n21 Overhead squats; Left arm\n50 Swings\n21 Overhead squats; Right arm\n50 Swings\n21 Turkish get-ups; Left arm,Hero,KETTLEBELL
THE SEVEN,For Time,Seven rounds\n7 Handstand push-up\n135 lbs Thruster; 7 rep\n7 Knees to elbow\n245 lbs Deadlift; 7 rep\n7 Burpee\n7 Kettlebell swings; 2 pood\n7 Pull-ups,Hero,"BARBELL, PULL UP BAR, KETTLEBELL"
RJ,For Time,Five rounds\nRun 800 meters\n15 ft Rope Climb; 5 ascents\n50 Push-ups,Hero,ROPE
LUCE,For Time,Wearing a 20 lbs vest; three rounds\nRun 1K\n10 Muscle-ups\n100 Squats,Hero,"VEST, PULL UP BAR, BARBELL"
JOHNSON,Rounds in 20 Min,245 lbs Deadlift; 9 reps\n8 Muscle-ups\n155 lbs Squat clean; 9 reps,Hero,"BARBELL, PULL UP BAR"
ROY,25 Pull-ups\nFor Time,Five rounds\n225 lbs Deadlift; 15 reps\n20 Box jumps; 24 inch box\n25 Pull-ups,Hero,"BARBELL, BOX, PULL UP BAR"
